300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75,304.75
309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5,309.5
314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25,314.25
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319
323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75,323.75
328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5
333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338
342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75,342.75
347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5
352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25,352.25
357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75,361.75
366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5
371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25,371.25
376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75,380.75
385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5,385.5
390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25,390.25
395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
