7.730193955137084627e-01,8.363956974413795376e-01,9.039378963033121162e-01,9.760125166809473507e-01,1.053035516842938168e+00,1.135492504310575468e+00,1.223973212408371758e+00,1.319232417865696894e+00,1.422302945864603263e+00,3.136433183609078412e+00,3.045336326497655843e+00,2.941337281483725530e+00,2.812690153478062172e+00,2.607415922497778205e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.574798568196485782e-01,8.225953113310568998e-01,8.921607070006207785e-01,9.665826847862154514e-01,1.046323452562123002e+00,1.131923976371825624e+00,1.224044308818297289e+00,1.323536419643077000e+00,1.431582804520852958e+00,3.125230617621026052e+00,3.028626684052469820e+00,2.916542002289248536e+00,2.772146542375297784e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.408337957798809548e-01,8.077754208043472772e-01,8.794806841804028164e-01,9.564026568283828800e-01,1.039057163246454696e+00,1.128049479513212994e+00,1.224121743394523287e+00,1.328240622651062131e+00,1.441768884144903007e+00,3.112873275230855885e+00,3.009971172635216075e+00,2.888121538095735019e+00,2.721563642043772990e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.229596959149806601e-01,7.918194174002912700e-01,8.657902565061446065e-01,9.453793502034567586e-01,1.031165075953316634e+00,1.123827898609109255e+00,1.224206403240017504e+00,1.333403604600568393e+00,1.453001448880845814e+00,3.099165183242272636e+00,2.988969877327464886e+00,2.854990585004918646e+00,2.653179451615366613e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.716683756933528926e+00
7.037177441236844855e-01,7.745923414285265096e-01,8.509641421549527518e-01,9.334036570221451168e-01,1.022562748535584376e+00,1.119210406625414933e+00,1.224299349106911627e+00,1.339095971813548447e+00,1.465451503405534206e+00,3.083860905215940473e+00,2.965089842543778609e+00,2.815445769847894741e+00,2.534730604707548629e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.732920970051671894e+00,2.690282181160895014e+00,2.651489024237918990e+00
6.829462799494158132e-01,7.559371540228376762e-01,8.348555698699102745e-01,9.203468518030710754e-01,1.013149844275130551e+00,1.114138567648322642e+00,1.224401860072267478e+00,1.345403617388289064e+00,1.479329792101497398e+00,3.066647840480064335e+00,2.937596401004030078e+00,2.766518379751780277e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.704972640641531534e+00,2.662928534372995593e+00,2.624642812489971444e+00,2.589526952077437105e+00
6.604573855357360745e-01,7.356700683735670765e-01,8.172914958767476534e-01,9.060559914970069961e-01,1.002806212243396278e+00,1.108541851081047636e+00,1.224515492754893575e+00,1.352432100661642878e+00,1.494899202776944991e+00,3.047119764387446583e+00,2.905430890222501894e+00,2.702034316165080607e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.721862600992227765e+00,2.675975235899194171e+00,2.634519831052495320e+00,2.596745956627422913e+00,2.562089641854203403e+00,2.530113685019647285e+00
6.360313597021740595e-01,7.135746516050764932e-01,7.980664930131607937e-01,8.903479635142179660e-01,9.913867496221108189e-01,1.102334332182983045e+00,1.224642160911499023e+00,1.360312626461349872e+00,1.512492208911163205e+00,3.024735701296040524e+00,2.866971987485458673e+00,2.603135832269599437e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.741501922678990510e+00,2.690999793077110347e+00,2.645805800321128221e+00,2.604941224511202691e+00,2.567690632854693789e+00,2.533511299858197230e+00,2.501979400352464022e+00,2.472756168370261243e+00
6.094097239370315222e-01,6.893943020578972014e-01,7.769348639951749735e-01,8.730016967877567424e-01,9.787145812792683586e-01,1.095410250393008100e+00,1.224784244092467000e+00,1.369210351753723298e+00,3.138037762328722557e+00,2.998752825743858264e+00,2.819505646984489022e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.708499169489934300e+00,2.658829168682425248e+00,2.614326450241006849e+00,2.574063871448758700e+00,2.537356007324199858e+00,2.503678376868230693e+00,2.472618619001463180e+00,2.443845354856376773e+00,2.417087451484814853e+00
5.802862665605925674e-01,6.628225520344134258e-01,7.536003497440797450e-01,8.537478425191931120e-01,9.645718781738423786e-01,1.087637936030840802e+00,1.224944738536809741e+00,1.379336152961980755e+00,3.121116478930967553e+00,2.968110014173186428e+00,2.757789049715321905e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.729157188247815391e+00,2.674030764989786757e+00,2.625183122844920280e+00,2.581381459682359214e+00,2.541742383401867755e+00,2.505605998890925612e+00,2.472463322906810923e+00,2.441911684179192576e+00,2.413625900492265330e+00,2.387338872411934432e+00,2.362828065600159011e+00
