nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.12109,3.08398,3.13086,3.09375,3.13477,3.0957,3.13086,3.09375,3.12109,3.08789,3.10742,3.125,3.13867,3.10352,3.11133,3.11328,3.11328,3.13281,3.13867,3.14062,3.11328,3.07617,3.03906,2.99805,2.94531,2.88672,2.80664,2.75781,2.72852,2.71484,2.70312,2.69141,2.67969,2.66992,2.6582,2.64844,2.63867,2.62891,2.61914,2.60938,2.59961,2.58984,2.58203,2.57227,2.56445,2.55469,2.54688,2.53906,2.53125,2.52344,2.51562,2.50781,2.50195,2.49414,2.48633,2.48047,2.47266,2.4668
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.10938,3.07617,3.11914,3.08398,3.12305,3.08789,3.12109,3.08789,3.11328,3.13867,3.10156,3.11914,3.13477,3.09961,3.10742,3.11328,3.11328,3.13477,3.125,3.13867,3.125,3.0918,3.05664,3.01758,2.97852,2.92383,2.86523,2.78516,2.77148,2.74023,2.72852,2.7168,2.6875,2.67578,2.66406,2.6543,2.64258,2.63281,2.62305,2.61328,2.60352,2.59375,2.58398,2.57617,2.56641,2.55859,2.54883,2.54102,2.5332,2.52539,2.51758,2.50977,2.50195,2.49414,2.48828,2.48047,2.47266,2.4668,2.46094,2.45312,2.44727
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.09766,3.06641,3.10742,3.07617,3.11328,3.08008,3.11328,3.08008,3.10742,3.13281,3.09766,3.11523,3.13086,3.14062,3.10547,3.11133,3.11133,3.13672,3.12695,3.13086,3.13672,3.10547,3.07227,3.03516,2.99805,2.95703,2.90234,2.84375,2.8125,2.7832,2.76953,2.74023,2.72852,2.69922,2.6875,2.67578,2.64844,2.63672,2.62695,2.61719,2.60742,2.59766,2.58789,2.57812,2.57031,2.56055,2.55273,2.54297,2.53516,2.52734,2.51953,2.51172,2.50391,2.49609,2.48828,2.48047,2.47461,2.4668,2.46094,2.45312,2.44727,2.43945,2.43359,2.42773
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.12695,3.08594,3.05664,3.09766,3.06641,3.10352,3.07227,3.10352,3.13867,3.09961,3.125,3.0918,3.10938,3.125,3.13867,3.10352,3.10938,3.11133,3.13867,3.12891,3.13672,3.13867,3.11523,3.08203,3.05273,3.01562,2.97852,2.92578,2.88281,2.85156,2.82227,2.80859,2.7793,2.76562,2.73828,2.72656,2.69922,2.6875,2.66016,2.64844,2.62109,2.61133,2.60156,2.5918,2.58203,2.57227,2.5625,2.55469,2.54492,2.53711,2.5293,2.52148,2.51172,2.50391,2.49609,2.49023,2.48242,2.47461,2.4668,2.46094,2.45312,2.44727,2.43945,2.43359,2.42773,2.41992,2.41406,2.4082
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.11328,3.07617,3.12891,3.08789,3.13672,3.0957,3.13672,3.0957,3.13086,3.09375,3.11914,3.08594,3.10547,3.12109,3.13477,3.09961,3.10742,3.11133,3.11133,3.13281,3.12109,3.13672,3.125,3.0957,3.0625,3.0332,2.99609,2.95703,2.9043,2.875,2.85938,2.83008,2.81641,2.78906,2.77539,2.76172,2.73438,2.72266,2.69531,2.68555,2.6582,2.64844,2.62109,2.61133,2.58594,2.57617,2.56641,2.55664,2.54883,2.53906,2.53125,2.52148,2.51367,2.50586,2.49805,2.49023,2.48242,2.47461,2.46875,2.46094,2.45312,2.44727,2.43945,2.43359,2.42578,2.41992,2.41406,2.4082,2.40039,2.39453,2.38867
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.09961,3.06641,3.11523,3.07812,3.125,3.08594,3.12695,3.08789,3.12109,3.08594,3.11328,3.13867,3.09961,3.11719,3.13281,3.09766,3.10547,3.10938,3.11133,3.13672,3.125,3.12891,3.13672,3.10742,3.07617,3.04883,3.01367,2.97656,2.9375,2.91016,2.89258,2.86523,2.84961,2.82227,2.80859,2.78125,2.76758,2.74219,2.73047,2.70508,2.69336,2.68164,2.65625,2.64648,2.62109,2.61133,2.58594,2.57617,2.55078,2.54102,2.5332,2.52344,2.51562,2.50781,2.5,2.49219,2.48438,2.47656,2.46875,2.46094,2.45312,2.44727,2.43945,2.43359,2.42578,2.41992,2.41211,2.40625,2.40039,2.39453,2.38867,2.38281,2.37695,2.37109
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.13477,3.08789,3.05664,3.10352,3.07031,3.11328,3.07812,3.11719,3.08008,3.11328,3.08008,3.10547,3.13281,3.0957,3.11328,3.12891,3.14062,3.10352,3.10938,3.11133,3.14062,3.12891,3.13672,3.14062,3.11719,3.08789,3.05859,3.0293,2.99609,2.9668,2.93945,2.92188,2.89453,2.87891,2.85352,2.83789,2.8125,2.79883,2.77344,2.76172,2.73633,2.72461,2.69922,2.68945,2.66406,2.6543,2.62891,2.61914,2.59375,2.58398,2.57617,2.55078,2.54102,2.51758,2.50977,2.5,2.49219,2.48438,2.47656,2.46875,2.46094,2.45312,2.44727,2.43945,2.43164,2.42578,2.41797,2.41211,2.40625,2.39844,2.39258,2.38672,2.38086,2.375,2.36914,2.36328,2.35742,2.35156
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.11719,3.07812,3.13867,3.09375,3.06055,3.10352,3.06836,3.10742,3.07227,3.10547,3.14062,3.09961,3.12695,3.08984,3.10938,3.12695,3.13867,3.10156,3.10742,3.11133,3.11133,3.13477,3.12305,3.14062,3.125,3.09961,3.07227,3.04102,3.01172,2.98438,2.96484,2.9375,2.91992,2.89453,2.87891,2.85352,2.83984,2.81445,2.80078,2.78711,2.76367,2.75195,2.72852,2.7168,2.69336,2.68359,2.66016,2.64844,2.625,2.61523,2.5918,2.58203,2.55859,2.55078,2.52539,2.51758,2.50977,2.48438,2.47656,2.46875,2.46094,2.45312,2.44727,2.43945,2.43164,2.42578,2.41797,2.41211,2.4043,2.39844,2.39258,2.38477,2.37891,2.37305,2.36719,2.36133,2.35547,2.34961,2.34375,2.33789,2.33398
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.10352,3.06836,3.12305,3.08203,3.13867,3.09375,3.06055,3.09766,3.06641,3.09766,3.13281,3.09375,3.12109,3.08398,3.10547,3.12305,3.13672,3.09961,3.10742,3.11133,3.11328,3.13867,3.12695,3.13281,3.13672,3.10742,3.08203,3.05469,3.0293,3.00391,2.98242,2.95898,2.93945,2.91602,2.89844,2.87695,2.86133,2.83789,2.82422,2.80273,2.78906,2.76758,2.75391,2.73242,2.7207,2.69727,2.6875,2.67578,2.6543,2.64453,2.62109,2.61133,2.58984,2.58008,2.55664,2.54883,2.52539,2.51562,2.49414,2.48438,2.46094,2.45312,2.44727,2.43945,2.43164,2.42383,2.41797,2.41016,2.4043,2.39648,2.39062,2.38477,2.37695,2.37109,2.36523,2.35938,2.35352,2.34766,2.3418,2.33594,2.33008,2.32617,2.32031,2.31445
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0918,3.05664,3.11133,3.07227,3.125,3.08398,3.13281,3.08984,3.13281,3.08984,3.125,3.08789,3.11523,3.08008,3.10156,3.11914,3.13477,3.09766,3.10742,3.11133,3.11328,3.11133,3.13477,3.12109,3.13672,3.12109,3.08789,3.0625,3.03711,3.01562,2.99219,2.9707,2.95117,2.93164,2.91406,2.89258,2.87695,2.85742,2.8418,2.82227,2.80859,2.78711,2.77539,2.75391,2.74219,2.72266,2.71094,2.68945,2.67773,2.6582,2.64648,2.625,2.61523,2.59375,2.58398,2.57617,2.55469,2.54492,2.52344,2.51562,2.49219,2.48438,2.46094,2.45508,2.43164,2.42383,2.41602,2.41016,2.40234,2.39648,2.38867,2.38281,2.37695,2.36914,2.36328,2.35742,2.35156,2.3457,2.33984,2.33398,2.32812,2.32227,2.31836,2.3125,2.30664,2.30078,2.29688
